insee	libelle1	libelle2	voie_num	voie_type	voie_nom	local	voie	CPBIBLIO	CEDEXB	BP	ville	DEPT	REGION	population_legale	
59329	MEDIATHEQUE MUNICIPALE DE LA MJC	DE LA MJC	43	RUE	MARECHAL LECLERC		43 RUE MARECHAL LECLERC	59552			Lambres-lez-Douai	59	31	5303	
59331	BIBLIOTHEQUE MUNICIPALE	PHILIPPE LAMOUR		PLACE	DU 84EME R.I.		PLACE DU 84EME R.I.	59550			Landrecies	59	31	3723	
59332	MEDIATHEQUE MUNICIPALE ALEXANDRE JARDIN	ALEXANDRE JARDIN	31	RUE	DES REMPARTS	MAIRIE	31 RUE DES REMPARTS	59390			Lannoy	59	31	1703	
59336	Bibliothèque		7	rue	de l'Ancienne Poste		7 rue de l'Ancienne Poste	59259			Lécluse	59	31	1539	
59337	AGACS - BIBLIOTHEQUE MUNICIPALE DE LEDERZEELE		3		CONTOUR DE L'EGLISDE		3   CONTOUR DE L'EGLISDE	59143			Lederzeele	59	31	611	
59340	BIBLIOTHEQUE MUNICIPALE		330	RUE	ROGER SALENGRO		330 RUE ROGER SALENGRO	59495			Leffrinckoucke	59	31	4569	
59344	Médiathèque Maurice Libier		61	rue	Emile Brasselet		61 rue Emile Brasselet	59620			Leval	59	31	2303	
59346	MEDIATHEQUE MUNICIPALE		20	PLACE	DE LA REPUBLIQUE		20 PLACE DE LA REPUBLIQUE	59260			Lezennes	59	31	3091	
59348	Mediatheque Municipale salle Mousseron		4	rue	des écoles		4 rue des écoles	59111			Lieu-Saint-Amand	59	31	1268	
59349	BIBLIOTHEQUE MUNICIPALE		21	RUE	CURIE		21 RUE CURIE	59191			Ligny-en-Cambrésis	59	31	1760	
59350	BIBLIOTHEQUE MUNICIPALE		32/34	RUE	EDOUARD DELESALLE		32/34 RUE EDOUARD DELESALLE	59000	CEDEX		Lille	59	31	232082	
59351	Médiathèque Municipale		10	rue de l'église			10 rue de l'église	59330			Limont-Fontaine	59	31	571	
59355	L'ODYSSEE	MEDIATHEQUE DE LOMME	794	AVENUE	DE DUNKERQUE		794 AVENUE DE DUNKERQUE	59461	CEDEX		Lomme	59	31	28433	
59358	BIBLIOTHEQUE DE LOOBERGHE		ROUTE	DE CASSEL			ROUTE DE CASSEL	59630			Looberghe	59	31	1207	
59359	MEDIATHEQUE MUNICIPALE	MARCEL PAGNOL	60 BIS	RUE	GEORGES POMPIDOU		60 BIS RUE GEORGES POMPIDOU	59279			Loon-Plage	59	31	6386	
59360	BIBLIOTHEQUE MUNICIPALE		3	SQUARE	JEAN MONNET		3 SQUARE JEAN MONNET	59320	CEDEX	BP 109	Loos	59	31	21856	
59361	BIBLIOTHEQUE MUNICIPALE		647	rue	jean jaures		647 rue jean jaures	59156			Lourches	59	31	4000	
59364	bibliothèque		70	rue	du marais		70 rue du marais	59830			Louvil	59	31	869	
59365	MEDIATHEQUE  MUNICIPALE			PLACE  DU	GENERAL DE GAULLE		PLACE  DU GENERAL DE GAULLE	59720			Louvroil	59	31	6914	
59367	BIBLIOTHEQUE MUNICIPALE		199	AVENUE	PAUL BERT	ESPACE AGORA	199 AVENUE PAUL BERT	59390			Lys-lez-Lannoy	59	31	12934	
59371	Médiathèque les Merlettes		9	rue	de l'Eglise		9 rue de l'Eglise	59134			Le Maisnil	59	31	553	
59372	bibliotheque municipale			Place	de la victoire		Place de la victoire	59127			Malincourt	59	31	501	
59375	Médiathèque Municipale Eugénie Rangier		9	rue	de l'Abbaye		9 rue de l'Abbaye	59870			Marchiennes	59	31	4792	
59378	MEDIATHEQUE	LA CORDERIE	56	RUE	ALBERT BAILLY		56 RUE ALBERT BAILLY	59700			Marcq-en-Baroeul	59	31	39723	
59381	Bibliotheque Municipale de Maresches				Contour du Trieux	contour du trieux	Contour du Trieux	59990			Maresches	59	31	927	
59386	BIBLIOTHEQUE MUNICIPALE		12	RUE	DES MARTYRS DE LA RESISTANCE	CENTRE CULTUREL JEAN PIAT	12 RUE DES MARTYRS DE LA RESISTANCE	59520			Marquette-lez-Lille	59	31	9836	
59388	BIBLIOTHEQUE	LOISIRS ET CULTURE	100	rue	de Verdun		100 rue de Verdun	59274			Marquillies	59	31	1819	
59389	Bibliothèque municipale			route	Nationale	Mairie	route Nationale	59241			Masnières	59	31	2635	
59392	BIBLIOTHEQUE MUNICIPALE	CENTRE CULTUREL DE L'ARSENAL		RUE	DE LA CROIX B.P 40019		RUE DE LA CROIX B.P 40019	59601		BP 19	Maubeuge	59	31	32782	
59393	Bibliothèque Municipale		100	rue	du Mortier	Ecole primaire publique Marcel Dhot	100 rue du Mortier	59158			Maulde	59	31	986	
59398	MEDIATHEQUE MUNICIPALE		145	RUE	DE LA GAILLARDERIE		145 RUE DE LA GAILLARDERIE	59710			Mérignies	59	31	2469	
59399	Médiathèque MAISON DE TILL			Place	de l'Eglise		Place de l'Eglise	59270			Merris	59	31	1072	
59400	MEDIATHEQUE MUNICIPALE	ESPACE CULTUREL ROBERT HOSSEIN	19	RUE	DU PONT DE PIERRE		19 RUE DU PONT DE PIERRE	59660		BP 6	Merville	59	31	8823	
59402	BIBLIOTHEQUE		133	rue de Merckeghem			133 rue de Merckeghem	59143			Millam	59	31	790	
59404	BIBLIOTHEQUE MUNICIPALE				RUE DU STADE	MAIRIE LES MOERES	RUE DU STADE	59122			Les Moëres	59	31	745	
59405	Bibliothèque				Grand Place		Grand Place	62147			Moeuvres	59	31	482	
